searched_role,site,title,company,location,date_posted,salary
Data Scientist,indeed,ML Associate Engineer,Eaton,"MH, IN",2026-06-24,₹4L - ₹7L PA 
Data Scientist,indeed,Data Engineering,Zensar Technologies,IN,2026-06-24,₹6L - ₹17L PA 
Data Scientist,indeed,Principal Architect GenAI and ML Ops,GE HealthCare,"KA, IN",2026-06-24,₹4L - ₹7L PA 
Data Scientist,indeed,Business Analyst - Enterprise Programs 4B,Genpact,"TN, IN",2026-06-24,₹4L - ₹7L PA 
Data Scientist,indeed,GCP Data Engineer,Ishan Technologies,"MH, IN",2026-06-24,₹6L - ₹17L PA 
Data Scientist,indeed,MLOps Technical Lead,HCLTech,"UP, IN",2026-06-24,₹25L - ₹44L PA 
Data Scientist,indeed,"Manager, Engineering (AI AND DE)",Infoblox,"KA, IN",2026-06-24,₹4L - ₹7L PA 
Data Scientist,indeed,Engineering Manager,Experian,"TS, IN",2026-06-24,₹25L - ₹44L PA 
Data Scientist,indeed,Data Analyst I - AMS,Nordson,"Remote, IN",2026-06-24,₹4L - ₹7L PA 
Data Scientist,indeed,AI/ML Engineer - Healthcare,Alchi Design Studio,"Remote, IN",2026-06-24,₹6L - ₹17L PA 
Data Scientist,indeed,Senior Data Scientist – Healthcare (HCP/HCO) & Snowflake Cortex,Kasmoprav,"Remote, IN",2026-06-24,₹13L - ₹20L PA 
Data Scientist,indeed,Senior SDET,TechAhead Software Pvt Ltd,"UP, IN",2026-06-24,₹13L - ₹20L PA 
Data Scientist,indeed,IN_Senior Associate_Python_Data and Analytics_ Advisory_Bangalore,PwC,"KA, IN",2026-06-24,₹4L - ₹7L PA 
Data Scientist,indeed,Technology Operations Manager,Wells Fargo,"TS, IN",2026-06-24,₹25L - ₹44L PA 
Data Scientist,indeed,Senior Data Scientist,NielsenIQ,"HR, IN",2026-06-24,₹13L - ₹20L PA 
Data Scientist,indeed,Senior AI/ML Engineer – NLP & Generative AI,delphic,"KA, IN",2026-06-24,₹13L - ₹20L PA 
Data Scientist,indeed,Project Leader,AXTRIA,"UP, IN",2026-06-24,₹25L - ₹44L PA 
Data Scientist,indeed,Technical Lead – AI,,"MH, IN",2026-06-24,₹25L - ₹44L PA 
Data Scientist,indeed,Data Scientist,Eminenture,"Remote, IN",2026-06-24,₹6L - ₹17L PA 
Data Scientist,indeed,Praxis Global Alliance - Partner - Government & Public Sector,Praxis Global Alliance,"HR, IN",2026-06-24,₹6L - ₹17L PA 
Data Scientist,indeed,Intermediate Data Science Specialist,CDM Smith,"TN, IN",2026-06-23,₹6L - ₹17L PA 
Data Scientist,indeed,Intermediate Artificial Intelligence/Machine Learning Developer,CDM Smith,"TN, IN",2026-06-23,₹6L - ₹17L PA 
Data Scientist,indeed,"Senior Data Scientist - ML, Python",HCLTech,"UP, IN",2026-06-23,₹13L - ₹20L PA 
Data Scientist,indeed,Senior Data Scientist I,Schneider Electric,"KA, IN",2026-06-23,₹13L - ₹20L PA 
Data Scientist,indeed,Principal Engineer - Target India,Target,"KA, IN",2026-06-23,₹25L - ₹44L PA 
Data Scientist,indeed,Sr Data Analyst,Target,"KA, IN",2026-06-23,₹4L - ₹7L PA 
Data Scientist,indeed,DevOps Engineer,Solulever,"UP, IN",2026-06-23,₹6L - ₹17L PA 
Data Scientist,indeed,Python ML Engineer,Solulever,"UP, IN",2026-06-23,₹6L - ₹17L PA 
Data Scientist,indeed,Specialist - Data Sciences,LTM Limited,"TS, IN",2026-06-23,₹6L - ₹17L PA 
Data Scientist,indeed,"Data Scientist, Seller Fee Science",Amazon.com,"KA, IN",2026-06-23,₹6L - ₹17L PA 
Data Scientist,indeed,Lead Software Engineer,Barclays,"MH, IN",2026-06-23,₹25L - ₹44L PA 
Data Scientist,indeed,Microsoft Power BI Technical Lead,HCLTech,"TS, IN",2026-06-23,₹4L - ₹7L PA 
Data Scientist,indeed,Microsoft Power BI Technical Specialist,HCLTech,"TS, IN",2026-06-23,₹4L - ₹7L PA 
Data Scientist,indeed,"Data Engineering Lead - Big Data, Snowflake, DataBricks-Vice President",Citi,"TN, IN",2026-06-23,₹25L - ₹44L PA 
Data Scientist,indeed,"Cloud Platform Engineer - API, Officer",State Street,"TS, IN",2026-06-23,₹6L - ₹17L PA 
Data Scientist,indeed,Data Scientist,Infosys,"MH, IN",2026-06-23,₹6L - ₹17L PA 
Data Scientist,indeed,Software Engineer II,Microsoft,"KA, IN",2026-06-22,₹13L - ₹20L PA 
Data Scientist,indeed,"Data Engineer, Amazon Last Mile - Routing and Planning - DE",Amazon.com,"TS, IN",2026-06-18,₹6L - ₹17L PA 
Data Scientist,indeed,"Catalog Specialist, WWRR Science Annotation Team",Amazon.com,"TS, IN",2026-06-15,₹6L - ₹17L PA 
Data Scientist,indeed,Senior Data Scientist I,MetLife,"TS, IN",2026-05-20,₹13L - ₹20L PA 
Machine Learning Engineer,indeed,AI / ML Engineer,Accenture,"KA, IN",2026-06-24,₹5L - ₹9L PA 
Machine Learning Engineer,indeed,Staff Machine Learning Engineer (Employer of Record),Credit Acceptance,"Remote, IN",2026-06-24,₹17L - ₹26L PA 
Machine Learning Engineer,indeed,Machine Learning Engineer,DocuSign,"KA, IN",2026-06-24,₹8L - ₹22L PA 
Machine Learning Engineer,indeed,Lead Machine Learning Engineer,DocuSign,"KA, IN",2026-06-24,₹30L - ₹53L PA 
Machine Learning Engineer,indeed,Data Scientist 4A,Genpact,"KA, IN",2026-06-23,₹8L - ₹22L PA 
Machine Learning Engineer,indeed,Professional Machine Learning Engineer,Volvo Group,"KA, IN",2026-06-22,₹8L - ₹22L PA 
Machine Learning Engineer,indeed,Business Consulting - AI/ML Consultant,NTT DATA,"KA, IN",2026-06-22,₹8L - ₹22L PA 
